PartNo,Name,PlacedLayer,X,Y,Angle,ECADAngle,PartName,ECADPartName,PackageName,Fixed,width,height,left,top,pins
17,L04L,TOP,24.3,48.8,90,90,EAV60669501-BF-L04L,EAV60669501,optic-smd-2pin-1608-0.6h,FALSE,0.9000000000000001,2.3,23.8517578125,47.68250883165143,"['(24.3017578125, 48.08250883165143)', '(24.3017578125, 49.58250883165143)']"
18,L06L,TOP,35.2,48.8,90,90,EAV60669501-BF-L06L,EAV60669501,optic-smd-2pin-1608-0.6h,FALSE,0.9000000000000001,2.3,34.7208984375,47.68250883165143,"['(35.1708984375, 48.08250883165143)', '(35.1708984375, 49.58250883165143)']"
1,C01,TOP,67.0,15.5,90,90,0CK103CK56A,0CK103CK56A,cap-smd-2pin-1608-1.2h,FALSE,0.9000000000000001,2.3,66.5080078125,14.373597544377613,"['(66.9580078125, 14.773597544377614)', '(66.9580078125, 16.273597544377616)']"
1,C02,TOP,70.4,15.5,90,90,0CK103CK56A,0CK103CK56A,cap-smd-2pin-1608-1.2h,FALSE,0.9000000000000001,2.3,69.9943359375,14.373597544377613,"['(70.4443359375, 14.773597544377614)', '(70.4443359375, 16.273597544377616)']"
2,C04,BOTTOM,83.6,23.3,0,0,0CK103CK56A_B,0CK103CK56A,cap-smd-2pin-1608-1.2h,FALSE,2.3,0.9,82.4193359375,22.886798957441844,"['(84.3193359375, 23.336798957441843)', '(82.8193359375, 23.336798957441843)']"
2,C05,BOTTOM,83.6,25.0,0,0,0CK103CK56A_B,0CK103CK56A,cap-smd-2pin-1608-1.2h,FALSE,2.3,0.9,82.4193359375,24.531683465455366,"['(84.3193359375, 24.981683465455365)', '(82.8193359375, 24.981683465455365)']"
4,C07,TOP,89.3,45.7,270,270,0CH1104K562,0CH1104K562,cap-smd-2pin-1608-1.2h,FALSE,0.9000000000000005,2.3,88.8615234375,44.59835037912608,"['(89.3115234375, 46.49835037912608)', '(89.3115234375, 44.99835037912608)']"
5,C08,BOTTOM,83.6,28.9,0,0,0CH1102K562_B,0CH1102K562,cap-smd-2pin-1608-1.2h,FALSE,2.3,0.9,82.4193359375,28.43828417198748,"['(84.3193359375, 28.88828417198748)', '(82.8193359375, 28.88828417198748)']"
6,C09,TOP,94.8,26.8,90,90,0CH1102K562,0CH1102K562,cap-smd-2pin-1608-1.2h,FALSE,0.9000000000000001,2.3,94.3986328125,25.68217853697058,"['(94.8486328125, 26.082178536970577)', '(94.8486328125, 27.582178536970577)']"
6,C10,TOP,93.2,39.2,270,270,0CH1102K562,0CH1102K562,cap-smd-2pin-1608-1.2h,FALSE,0.9000000000000005,2.3,92.7580078125,38.01881234707199,"['(93.2080078125, 39.91881234707199)', '(93.2080078125, 38.41881234707199)']"
5,C11,BOTTOM,79.3,12.6,90,90,0CH1102K562_B,0CH1102K562,cap-smd-2pin-1608-1.2h,FALSE,0.9000000000000001,2.3,78.8126953125,11.495049655353949,"['(79.2626953125, 13.395049655353949)', '(79.2626953125, 11.895049655353949)']"
6,C12,TOP,53.4,23.1,270,270,0CH1102K562,0CH1102K562,cap-smd-2pin-1608-1.2h,FALSE,0.9000000000000005,2.3,52.9728515625,21.981188393940155,"['(53.4228515625, 23.881188393940153)', '(53.4228515625, 22.381188393940153)']"
5,C13,BOTTOM,62.4,36.3,270,270,0CH1102K562_B,0CH1102K562,cap-smd-2pin-1608-1.2h,FALSE,0.9000000000000005,2.3,61.9962890625,35.14026445804833,"['(62.4462890625, 35.54026445804833)', '(62.4462890625, 37.04026445804833)']"
4,C01M,TOP,68.2,23.5,270,270,0CH1104K562,0CH1104K562,cap-smd-2pin-1608-1.2h,FALSE,0.9000000000000005,2.3,67.7384765625,22.392409520943534,"['(68.1884765625, 24.292409520943533)', '(68.1884765625, 22.792409520943533)']"
6,C02M,TOP,64.3,23.3,90,90,0CH1102K562,0CH1102K562,cap-smd-2pin-1608-1.2h,FALSE,0.9000000000000001,2.3,63.8419921875,22.186798957441844,"['(64.2919921875, 22.586798957441843)', '(64.2919921875, 24.086798957441843)']"
4,C04M,TOP,62.7,29.7,90,90,0CH1104K562,0CH1104K562,cap-smd-2pin-1608-1.2h,FALSE,0.9000000000000001,2.3,62.2013671875,28.56072642599424,"['(62.6513671875, 28.96072642599424)', '(62.6513671875, 30.46072642599424)']"
8,C05M,BOTTOM,53.2,27.4,90,90,EAE61422705_B,EAE61422705,cap-smd-2pin-1608-0.8h,FALSE,0.9000000000000001,2.3,52.7677734375,26.299010227475648,"['(53.2177734375, 28.199010227475647)', '(53.2177734375, 26.699010227475647)']"
8,C06M,BOTTOM,53.2,31.6,270,270,EAE61422705_B,EAE61422705,cap-smd-2pin-1608-0.8h,FALSE,0.9000000000000005,2.3,52.7677734375,30.41122149750945,"['(53.2177734375, 30.81122149750945)', '(53.2177734375, 32.31122149750945)']"
4,C08M,TOP,68.2,29.1,90,90,0CH1104K562,0CH1104K562,cap-smd-2pin-1608-1.2h,FALSE,0.9000000000000001,2.3,67.7384765625,27.94389473548917,"['(68.1884765625, 28.34389473548917)', '(68.1884765625, 29.84389473548917)']"
15,L01L,TOP,11.8,48.8,90,90,EAV62774101,EAV62774101,optic-smd-2pin-1608-0.6h,FALSE,0.9000000000000001,2.3,11.3419921875,47.68250883165143,"['(11.7919921875, 48.08250883165143)', '(11.7919921875, 49.58250883165143)']"
